,Date Reported As Of,PID,Project Name,Description,Category,Borough,Managing Agency,Client Agency,Current Phase,Design Start,Budget Forecast,Latest Budget Changes,Total Budget Changes,Forecast Completion,Latest Schedule Changes,Total Schedule Changes,Original Budget,Original Completion,Original Expected Duration,Latest Budget Changes (Scaled to Original),Total Budget Changes (Scaled to Original),Latest Schedule Changes (Scaled to Original),Total Schedule Changes (Scaled to Original),Total Frequency of Budget Changes,Total Frequency of Schedule Changes,Cumulative Budget Changes ($),Cumulative Schedule Changes (days),Budget_Change_Boolean,Schedule_Change_Boolean,Cumulative Budget Changes (no. of times),Cumulative Schedule Changes (no. of times)
545,2013-09-01,304,Worth Street Roadway Reconstruction,"Roadway reconstruction: Worth Street from Hudson Street to Park Row, including sidewalk, curb, sewer and water main work.",Streets and Roadways,Manhattan,DDC,DOT,Design,2004-07-26,77879000.0,0.0,38328000.0,2016-06-13,0.0,1762.0,77879000.0,2016-06-13,4340.0,0.0,0.49214807586127196,0.0,0.4059907834101382,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
544,2014-01-01,304,Worth Street Roadway Reconstruction,"Roadway reconstruction: Worth Street from Hudson Street to Park Row, including sidewalk, curb, sewer and water main work.",Streets and Roadways,Manhattan,DDC,DOT,Design,2004-07-26,56496000.0,-21383000.0,38328000.0,2020-01-08,1304.0,1762.0,77879000.0,2016-06-13,4340.0,-0.2745669564324144,0.49214807586127196,0.30046082949308756,0.4059907834101382,12.0,7.0,-21383000.0,1304.0,1.0,1.0,1.0,1.0
543,2014-05-01,304,Worth Street Roadway Reconstruction,"Roadway reconstruction: Worth Street from Hudson Street to Park Row, including sidewalk, curb, sewer and water main work.",Streets and Roadways,Manhattan,DDC,DOT,Construction Procurement,2004-07-26,68604000.0,12108000.0,38328000.0,2019-12-13,-26.0,1762.0,77879000.0,2016-06-13,4340.0,0.15547195007640058,0.49214807586127196,-0.005990783410138249,0.4059907834101382,12.0,7.0,-9275000.0,1278.0,1.0,1.0,2.0,2.0
542,2015-02-01,304,Worth Street Roadway Reconstruction,"Roadway reconstruction: Worth Street from Hudson Street to Park Row, including sidewalk, curb, sewer and water main work.",Streets and Roadways,Manhattan,DDC,DOT,Construction Procurement,2004-07-26,103968000.0,35364000.0,38328000.0,2020-11-12,335.0,1762.0,77879000.0,2016-06-13,4340.0,0.45408903555515606,0.49214807586127196,0.0771889400921659,0.4059907834101382,12.0,7.0,26089000.0,1613.0,1.0,1.0,3.0,3.0
541,2015-08-01,304,Worth Street Roadway Reconstruction,"Roadway reconstruction: Worth Street from Hudson Street to Park Row, including sidewalk, curb, sewer and water main work.",Streets and Roadways,Manhattan,DDC,DOT,Construction Procurement,2004-07-26,96136000.0,-7832000.0,38328000.0,2021-01-01,50.0,1762.0,77879000.0,2016-06-13,4340.0,-0.10056626304908897,0.49214807586127196,0.01152073732718894,0.4059907834101382,12.0,7.0,18257000.0,1663.0,1.0,1.0,4.0,4.0
540,2016-01-01,304,Worth Street Roadway Reconstruction,"Roadway reconstruction: Worth Street from Hudson Street to Park Row, including sidewalk, curb, sewer and water main work.",Streets and Roadways,Manhattan,DDC,DOT,Construction Procurement,2004-07-26,96746000.0,610000.0,38328000.0,2021-03-13,71.0,1762.0,77879000.0,2016-06-13,4340.0,0.00783266349079983,0.49214807586127196,0.016359447004608296,0.4059907834101382,12.0,7.0,18867000.0,1734.0,1.0,1.0,5.0,5.0
539,2016-06-01,304,Worth Street Roadway Reconstruction,"Roadway reconstruction: Worth Street from Hudson Street to Park Row, including sidewalk, curb, sewer and water main work.",Streets and Roadways,Manhattan,DDC,DOT,Construction,2004-07-26,96746000.0,0.0,38328000.0,2019-04-10,-703.0,1762.0,77879000.0,2016-06-13,4340.0,0.0,0.49214807586127196,-0.1619815668202765,0.4059907834101382,12.0,7.0,18867000.0,1031.0,0.0,1.0,5.0,6.0
538,2016-11-01,304,Worth Street Roadway Reconstruction,"Roadway reconstruction: Worth Street from Hudson Street to Park Row, including sidewalk, curb, sewer and water main work.",Streets and Roadways,Manhattan,DDC,DOT,Construction,2004-07-26,96628000.0,-118000.0,38328000.0,2019-04-10,0.0,1762.0,77879000.0,2016-06-13,4340.0,-0.0015151709703514426,0.49214807586127196,0.0,0.4059907834101382,12.0,7.0,18749000.0,1031.0,1.0,0.0,6.0,6.0
537,2017-04-01,304,Worth Street Roadway Reconstruction,"Roadway reconstruction: Worth Street from Hudson Street to Park Row, including sidewalk, curb, sewer and water main work.",Streets and Roadways,Manhattan,DDC,DOT,Construction,2004-07-26,101105000.0,4477000.0,38328000.0,2019-04-10,0.0,1762.0,77879000.0,2016-06-13,4340.0,0.0574866138496899,0.49214807586127196,0.0,0.4059907834101382,12.0,7.0,23226000.0,1031.0,1.0,0.0,7.0,6.0
536,2017-09-01,304,Worth Street Roadway Reconstruction,"Roadway reconstruction: Worth Street from Hudson Street to Park Row, including sidewalk, curb, sewer and water main work.",Streets and Roadways,Manhattan,DDC,DOT,Construction,2004-07-26,101617000.0,512000.0,38328000.0,2019-04-10,0.0,1762.0,77879000.0,2016-06-13,4340.0,0.006574301159491005,0.49214807586127196,0.0,0.4059907834101382,12.0,7.0,23738000.0,1031.0,1.0,0.0,8.0,6.0
535,2018-03-01,304,Worth Street Roadway Reconstruction,"Roadway reconstruction: Worth Street from Hudson Street to Park Row, including sidewalk, curb, sewer and water main work.",Streets and Roadways,Manhattan,DDC,DOT,Construction,2004-07-26,101617000.0,0.0,38328000.0,2019-04-10,0.0,1762.0,77879000.0,2016-06-13,4340.0,0.0,0.49214807586127196,0.0,0.4059907834101382,12.0,7.0,23738000.0,1031.0,0.0,0.0,8.0,6.0
534,2018-08-01,304,Worth Street Roadway Reconstruction,"Roadway reconstruction: Worth Street from Hudson Street to Park Row, including sidewalk, curb, sewer and water main work.",Streets and Roadways,Manhattan,DDC,DOT,Construction,2004-07-26,106613000.0,4996000.0,38328000.0,2019-04-10,0.0,1762.0,77879000.0,2016-06-13,4340.0,0.06415079803284582,0.49214807586127196,0.0,0.4059907834101382,12.0,7.0,28734000.0,1031.0,1.0,0.0,9.0,6.0
533,2019-01-01,304,Worth Street Roadway Reconstruction,"Roadway reconstruction: Worth Street from Hudson Street to Park Row, including sidewalk, curb, sewer and water main work.",Streets and Roadways,Manhattan,DDC,DOT,Construction,2004-07-26,116198000.0,9585000.0,38328000.0,2021-04-10,731.0,1762.0,77879000.0,2016-06-13,4340.0,0.12307554026117438,0.49214807586127196,0.1684331797235023,0.4059907834101382,12.0,7.0,38319000.0,1762.0,1.0,1.0,10.0,7.0
532,2019-05-01,304,Worth Street Roadway Reconstruction,"Reconstruction of Worth Street from Hudson Street to Park Row, Borough of Manhattan",Streets and Roadways,Manhattan,DDC,DOT,Construction,2004-07-26,116019000.0,-179000.0,38328000.0,2021-04-10,0.0,1762.0,77879000.0,2016-06-13,4340.0,-0.0022984373194314257,0.49214807586127196,0.0,0.4059907834101382,12.0,7.0,38140000.0,1762.0,1.0,0.0,11.0,7.0
531,2019-09-01,304,Worth Street Roadway Reconstruction,"Reconstruction of Worth Street from Hudson Street to Park Row, Borough of Manhattan",Streets and Roadways,Manhattan,DDC,DOT,Construction,2004-07-26,116207000.0,188000.0,38328000.0,2021-04-10,0.0,1762.0,77879000.0,2016-06-13,4340.0,0.0024140012070006035,0.49214807586127196,0.0,0.4059907834101382,12.0,7.0,38328000.0,1762.0,1.0,0.0,12.0,7.0
559,2014-01-01,313,Dutch Kills and Lower Newtown Creek Enhanced Aeration Work,This project will construct a blower facility and install a diffused aeration system in Dutch Kills and Newtown Creek to increase dissolved oxygen content in the project area to meet DEC standards for the water body.,Wastewater Treatment,Queens,DEP,DEP,Design,2010-06-14,38300594.0,476550.0,-4152475.0,2019-04-14,-1.0,1735.0,37824044.0,2019-04-15,1930.0,0.012599128744668339,-0.10978400405837091,-0.0005181347150259067,0.8989637305699482,13.0,8.0,476550.0,-1.0,1.0,1.0,1.0,1.0
558,2014-05-01,313,Dutch Kills and Lower Newtown Creek Enhanced Aeration Work,This project will construct a blower facility and install a diffused aeration system in Dutch Kills and Newtown Creek to increase dissolved oxygen content in the project area to meet DEC standards for the water body.,Wastewater Treatment,Queens,DEP,DEP,Design,2010-06-14,34899023.0,-3401571.0,-4152475.0,2019-04-14,0.0,1735.0,37824044.0,2019-04-15,1930.0,-0.08993144678025437,-0.10978400405837091,0.0,0.8989637305699482,13.0,8.0,-2925021.0,-1.0,1.0,0.0,2.0,1.0
557,2015-02-01,313,Dutch Kills and Lower Newtown Creek Enhanced Aeration Work,This project will construct a blower facility and install a diffused aeration system in Dutch Kills and Newtown Creek to increase dissolved oxygen content in the project area to meet DEC standards for the water body.,Wastewater Treatment,Queens,DEP,DEP,Design,2010-06-14,34899023.0,0.0,-4152475.0,2019-04-14,0.0,1735.0,37824044.0,2019-04-15,1930.0,0.0,-0.10978400405837091,0.0,0.8989637305699482,13.0,8.0,-2925021.0,-1.0,0.0,0.0,2.0,1.0
556,2015-08-01,313,Dutch Kills and Lower Newtown Creek Enhanced Aeration Work,This project will construct a blower facility and install a diffused aeration system in Dutch Kills and Newtown Creek to increase dissolved oxygen content in the project area to meet DEC standards for the water body.,Wastewater Treatment,Queens,DEP,DEP,Design,2014-01-01,40484222.0,5585199.0,-4152475.0,2019-04-14,0.0,1735.0,37824044.0,2019-04-15,1930.0,0.14766266134842695,-0.10978400405837091,0.0,0.8989637305699482,13.0,8.0,2660178.0,-1.0,1.0,0.0,3.0,1.0
555,2016-01-01,313,Dutch Kills and Lower Newtown Creek Enhanced Aeration Work,This project will construct a blower facility and install a diffused aeration system in Dutch Kills and Newtown Creek to increase dissolved oxygen content in the project area to meet DEC standards for the water body.,Wastewater Treatment,Queens,DEP,DEP,Construction Procurement,2014-01-01,41509583.0,1025361.0,-4152475.0,2020-01-05,266.0,1735.0,37824044.0,2019-04-15,1930.0,0.027108708947144837,-0.10978400405837091,0.1378238341968912,0.8989637305699482,13.0,8.0,3685539.0,265.0,1.0,1.0,4.0,2.0
554,2016-06-01,313,Dutch Kills and Lower Newtown Creek Enhanced Aeration Work,This project will construct a blower facility and install a diffused aeration system in Dutch Kills and Newtown Creek to increase dissolved oxygen content in the project area to meet DEC standards for the water body.,Wastewater Treatment,Queens,DEP,DEP,Construction Procurement,2014-01-01,40468019.0,-1041564.0,-4152475.0,2020-01-05,0.0,1735.0,37824044.0,2019-04-15,1930.0,-0.027537087255926414,-0.10978400405837091,0.0,0.8989637305699482,13.0,8.0,2643975.0,265.0,1.0,0.0,5.0,2.0
553,2016-11-01,313,Dutch Kills and Lower Newtown Creek Enhanced Aeration Work,This project will construct a blower facility and install a diffused aeration system in Dutch Kills and Newtown Creek to increase dissolved oxygen content in the project area to meet DEC standards for the water body.,Wastewater Treatment,Queens,DEP,DEP,Construction Procurement,2014-01-01,42855624.0,2387605.0,-4152475.0,2020-06-01,148.0,1735.0,37824044.0,2019-04-15,1930.0,0.06312400123054003,-0.10978400405837091,0.0766839378238342,0.8989637305699482,13.0,8.0,5031580.0,413.0,1.0,1.0,6.0,3.0
552,2017-04-01,313,Dutch Kills and Lower Newtown Creek Enhanced Aeration Work,This project will construct a blower facility and install a diffused aeration system in Dutch Kills and Newtown Creek to increase dissolved oxygen content in the project area to meet DEC standards for the water body.,Wastewater Treatment,Queens,DEP,DEP,Construction Procurement,2014-01-01,39918112.0,-2937512.0,-4152475.0,2022-12-12,924.0,1735.0,37824044.0,2019-04-15,1930.0,-0.07766255771064565,-0.10978400405837091,0.47875647668393784,0.8989637305699482,13.0,8.0,2094068.0,1337.0,1.0,1.0,7.0,4.0
551,2017-09-01,313,Dutch Kills and Lower Newtown Creek Enhanced Aeration Work,This project will construct a blower facility and install a diffused aeration system in Dutch Kills and Newtown Creek to increase dissolved oxygen content in the project area to meet DEC standards for the water body.,Wastewater Treatment,Queens,DEP,DEP,Construction Procurement,2014-01-01,40835112.0,917000.0,-4152475.0,2022-12-12,0.0,1735.0,37824044.0,2019-04-15,1930.0,0.024243838125822825,-0.10978400405837091,0.0,0.8989637305699482,13.0,8.0,3011068.0,1337.0,1.0,0.0,8.0,4.0
550,2018-03-01,313,Dutch Kills and Lower Newtown Creek Enhanced Aeration Work,This project will construct a blower facility and install a diffused aeration system in Dutch Kills and Newtown Creek to increase dissolved oxygen content in the project area to meet DEC standards for the water body.,Wastewater Treatment,Queens,DEP,DEP,Design,2014-01-01,44611418.0,3776306.0,-4152475.0,2022-07-26,-139.0,1735.0,37824044.0,2019-04-15,1930.0,0.09983876922308994,-0.10978400405837091,-0.07202072538860103,0.8989637305699482,13.0,8.0,6787374.0,1198.0,1.0,1.0,9.0,5.0
549,2018-08-01,313,Dutch Kills and Lower Newtown Creek Enhanced Aeration Work,This project will construct a blower facility and install a diffused aeration system in Dutch Kills and Newtown Creek to increase dissolved oxygen content in the project area to meet DEC standards for the water body.,Wastewater Treatment,Queens,DEP,DEP,Construction Procurement,2014-01-01,33807921.0,-10803497.0,-4152475.0,2022-12-12,139.0,1735.0,37824044.0,2019-04-15,1930.0,-0.28562511718736366,-0.10978400405837091,0.07202072538860103,0.8989637305699482,13.0,8.0,-4016123.0,1337.0,1.0,1.0,10.0,6.0
548,2019-01-01,313,Dutch Kills and Lower Newtown Creek Enhanced Aeration Work,This project will upgrade the Borden Ave Pump Station by expanding its footprint; providing replacement equipment; converting dry well to wet well; and providing provisions for future project to expand capacity of pump station to 26 MGD.,Wastewater Treatment,Queens,DEP,DEP,Design,2014-01-01,35447336.0,1639415.0,-4152475.0,2023-06-15,185.0,1735.0,37824044.0,2019-04-15,1930.0,0.04334319725304888,-0.10978400405837091,0.09585492227979274,0.8989637305699482,13.0,8.0,-2376708.0,1522.0,1.0,1.0,11.0,7.0
547,2019-05-01,313,Dutch Kills and Lower Newtown Creek Enhanced Aeration Work,This project will upgrade the Borden Ave Pump Station by expanding its footprint; providing replacement equipment; converting dry well to wet well; and providing provisions for future project to expand capacity of pump station to 26 MGD.,Wastewater Treatment,Queens,DEP,DEP,Design,2014-01-01,31571569.0,-3875767.0,-4152475.0,2024-01-14,213.0,1735.0,37824044.0,2019-04-15,1930.0,-0.10246833997972295,-0.10978400405837091,0.11036269430051814,0.8989637305699482,13.0,8.0,-6252475.0,1735.0,1.0,1.0,12.0,8.0
546,2019-09-01,313,Dutch Kills and Lower Newtown Creek Enhanced Aeration Work,This project will upgrade the Borden Ave Pump Station by expanding its footprint; providing replacement equipment; converting dry well to wet well; and providing provisions for future project to expand capacity of pump station to 26 MGD.,Wastewater Treatment,Queens,DEP,DEP,Design,2014-01-01,33671569.0,2100000.0,-4152475.0,2024-01-14,0.0,1735.0,37824044.0,2019-04-15,1930.0,0.05552023998280036,-0.10978400405837091,0.0,0.8989637305699482,13.0,8.0,-4152475.0,1735.0,1.0,0.0,13.0,8.0
573,2013-09-01,314,Wards Island Water Pollution Control Plant final Settling Tank Rehabilitation,"This project replaces final settling tank influent and effluent gates/weirs, sludge collection mechanisms, scum collection mechanisms, hoisting mechanisms, necessary structural modifications, and final settling tank concrete repairs at the Plant.",Wastewater Treatment,Manhattan,DEP,DEP,Design,2014-02-01,67000000.0,0.0,86869134.91,2018-08-20,0.0,591.0,64900000.0,2020-02-28,1852.0,0.0,1.3385074716486902,0.0,0.31911447084233263,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
572,2014-01-01,314,Wards Island Water Pollution Control Plant final Settling Tank Rehabilitation,"This project replaces final settling tank influent and effluent gates/weirs, sludge collection mechanisms, scum collection mechanisms, hoisting mechanisms, necessary structural modifications, and final settling tank concrete repairs at the Plant.",Wastewater Treatment,Manhattan,DEP,DEP,Design,2014-02-01,82500000.0,15500000.0,86869134.91,2018-08-20,0.0,591.0,64900000.0,2020-02-28,1852.0,0.23882896764252695,1.3385074716486902,0.0,0.31911447084233263,13.0,11.0,15500000.0,0.0,1.0,0.0,1.0,0.0
571,2015-02-01,314,Wards Island Water Pollution Control Plant final Settling Tank Rehabilitation,"This project replaces final settling tank influent and effluent gates/weirs, sludge collection mechanisms, scum collection mechanisms, hoisting mechanisms, necessary structural modifications, and final settling tank concrete repairs at the Plant.",Wastewater Treatment,Manhattan,DEP,DEP,Design,2014-02-01,69349124.0,-11050876.0,86869134.91,2020-03-30,31.0,591.0,64900000.0,2020-02-28,1852.0,-0.17027543913713405,1.3385074716486902,0.01673866090712743,0.31911447084233263,13.0,11.0,4449124.0,31.0,1.0,1.0,2.0,1.0
570,2015-08-01,314,Wards Island Water Pollution Control Plant final Settling Tank Rehabilitation,"This project replaces final settling tank influent and effluent gates/weirs, sludge collection mechanisms, scum collection mechanisms, hoisting mechanisms, necessary structural modifications, and final settling tank concrete repairs at the Plant.",Wastewater Treatment,Manhattan,DEP,DEP,Design,2014-02-01,101592641.0,32243517.0,86869134.91,2020-07-25,117.0,591.0,64900000.0,2020-02-28,1852.0,0.4968184437596302,1.3385074716486902,0.06317494600431965,0.31911447084233263,13.0,11.0,36692641.0,148.0,1.0,1.0,3.0,2.0
569,2016-01-01,314,Wards Island Water Pollution Control Plant final Settling Tank Rehabilitation,"This project replaces final settling tank influent and effluent gates/weirs, sludge collection mechanisms, scum collection mechanisms, hoisting mechanisms, necessary structural modifications, and final settling tank concrete repairs at the Plant.",Wastewater Treatment,Manhattan,DEP,DEP,Design,2014-02-01,161871508.0,60278867.0,86869134.91,2021-02-03,193.0,591.0,64900000.0,2020-02-28,1852.0,0.9287961016949152,1.3385074716486902,0.10421166306695465,0.31911447084233263,13.0,11.0,96971508.0,341.0,1.0,1.0,4.0,3.0
568,2016-06-01,314,Wards Island Water Pollution Control Plant final Settling Tank Rehabilitation,"This project replaces final settling tank influent and effluent gates/weirs, sludge collection mechanisms, scum collection mechanisms, hoisting mechanisms, necessary structural modifications, and final settling tank concrete repairs at the Plant.",Wastewater Treatment,Manhattan,DEP,DEP,Design,2015-02-02,151509097.0,-10362411.0,86869134.91,2021-02-22,19.0,591.0,64900000.0,2020-02-28,1852.0,-0.1596673497688752,1.3385074716486902,0.010259179265658747,0.31911447084233263,13.0,11.0,86609097.0,360.0,1.0,1.0,5.0,4.0
567,2016-11-01,314,Wards Island Water Pollution Control Plant final Settling Tank Rehabilitation,"This project replaces final settling tank influent and effluent gates/weirs, sludge collection mechanisms, scum collection mechanisms, hoisting mechanisms, necessary structural modifications, and final settling tank concrete repairs at the Plant.",Wastewater Treatment,Manhattan,DEP,DEP,Construction Procurement,2015-02-02,165979306.9,14470210.0,86869134.91,2021-06-04,102.0,591.0,64900000.0,2020-02-28,1852.0,0.22296163328197227,1.3385074716486902,0.0550755939524838,0.31911447084233263,13.0,11.0,101079307.0,462.0,1.0,1.0,6.0,5.0
566,2017-04-01,314,Wards Island Water Pollution Control Plant final Settling Tank Rehabilitation,"This project replaces final settling tank influent and effluent gates/weirs, sludge collection mechanisms, scum collection mechanisms, hoisting mechanisms, necessary structural modifications, and final settling tank concrete repairs at the Plant.",Wastewater Treatment,Manhattan,DEP,DEP,Construction Procurement,2015-02-02,187246680.9,21267374.0,86869134.91,2021-07-06,32.0,591.0,64900000.0,2020-02-28,1852.0,0.32769451463790444,1.3385074716486902,0.017278617710583154,0.31911447084233263,13.0,11.0,122346681.0,494.0,1.0,1.0,7.0,6.0
565,2017-09-01,314,Wards Island Water Pollution Control Plant final Settling Tank Rehabilitation,"This project replaces final settling tank influent and effluent gates/weirs, sludge collection mechanisms, scum collection mechanisms, hoisting mechanisms, necessary structural modifications, and final settling tank concrete repairs at the Plant.",Wastewater Treatment,Manhattan,DEP,DEP,Construction,2015-02-02,146423849.0,-40822832.0,86869134.91,2021-09-16,72.0,591.0,64900000.0,2020-02-28,1852.0,-0.6290112788906009,1.3385074716486902,0.038876889848812095,0.31911447084233263,13.0,11.0,81523849.0,566.0,1.0,1.0,8.0,7.0
564,2018-03-01,314,Wards Island Water Pollution Control Plant final Settling Tank Rehabilitation,"This project replaces final settling tank influent and effluent gates/weirs, sludge collection mechanisms, scum collection mechanisms, hoisting mechanisms, necessary structural modifications, and final settling tank concrete repairs at the Plant.",Wastewater Treatment,Manhattan,DEP,DEP,Construction,2015-02-02,146423850.0,1.0,86869134.91,2021-02-11,-217.0,591.0,64900000.0,2020-02-28,1852.0,1.5408320493066257e-08,1.3385074716486902,-0.117170626349892,0.31911447084233263,13.0,11.0,81523850.0,349.0,1.0,1.0,9.0,8.0
563,2018-08-01,314,Wards Island Water Pollution Control Plant final Settling Tank Rehabilitation,"This project replaces final settling tank influent and effluent gates/weirs, sludge collection mechanisms, scum collection mechanisms, hoisting mechanisms, necessary structural modifications, and final settling tank concrete repairs at the Plant.",Wastewater Treatment,Manhattan,DEP,DEP,Construction,2015-02-02,146363849.0,-60001.0,86869134.91,2021-07-08,147.0,591.0,64900000.0,2020-02-28,1852.0,-0.0009245146379044684,1.3385074716486902,0.07937365010799136,0.31911447084233263,13.0,11.0,81463849.0,496.0,1.0,1.0,10.0,9.0
562,2019-01-01,314,Wards Island Water Pollution Control Plant final Settling Tank Rehabilitation,"This project replaces final settling tank influent and effluent gates/weirs, sludge collection mechanisms, scum collection mechanisms, hoisting mechanisms, necessary structural modifications, and final settling tank concrete repairs at the Plant.",Wastewater Treatment,Manhattan,DEP,DEP,Construction,2015-02-02,149650654.75,3286806.0,86869134.91,2021-08-06,29.0,591.0,64900000.0,2020-02-28,1852.0,0.05064416024653313,1.3385074716486902,0.01565874730021598,0.31911447084233263,13.0,11.0,84750655.0,525.0,1.0,1.0,11.0,10.0
561,2019-05-01,314,Wards Island Water Pollution Control Plant final Settling Tank Rehabilitation,"This project replaces final settling tank influent and effluent gates/weirs, sludge collection mechanisms, scum collection mechanisms, hoisting mechanisms, necessary structural modifications, and final settling tank concrete repairs at the Plant.",Wastewater Treatment,Manhattan,DEP,DEP,Construction,2015-02-02,151643042.71,1992388.0,86869134.91,2021-10-11,66.0,591.0,64900000.0,2020-02-28,1852.0,0.03069935285053929,1.3385074716486902,0.035637149028077755,0.31911447084233263,13.0,11.0,86743043.0,591.0,1.0,1.0,12.0,11.0
560,2019-09-01,314,Wards Island Water Pollution Control Plant final Settling Tank Rehabilitation,"This project replaces final settling tank influent and effluent gates/weirs, sludge collection mechanisms, scum collection mechanisms, hoisting mechanisms, necessary structural modifications, and final settling tank concrete repairs at the Plant.",Wastewater Treatment,Manhattan,DEP,DEP,Construction,2015-02-02,151769134.91,126092.0,86869134.91,2021-10-11,0.0,591.0,64900000.0,2020-02-28,1852.0,0.0019428659476117102,1.3385074716486902,0.0,0.31911447084233263,13.0,11.0,86869135.0,591.0,1.0,0.0,13.0,11.0
588,2013-09-01,347,"West 59th Street Marine Transfer Station Construction, Phase 2","Phase I includes repairs to the inshore platform, replacement of scales and control equipment, dredging around the pier, and site work.",Sanitation,Manhattan,DDC,DSNY,Construction Procurement,2012-01-17,61077000.0,0.0,42146000.0,2018-01-28,0.0,942.0,61077000.0,2018-01-28,2203.0,0.0,0.690046989865252,0.0,0.42759872900590107,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
587,2014-01-01,347,"West 59th Street Marine Transfer Station Construction, Phase 2","Phase I repairs the inshore platform, replaces scales and control equipment, dredging around the pier, & site work. Phase 2 refurbishes existing pier building incl. pier structure, pile caps, fendering, construction of new emergency generator, etc.",Sanitation,Manhattan,DDC,DSNY,Construction Procurement,2012-01-17,61077000.0,0.0,42146000.0,2018-01-28,0.0,942.0,61077000.0,2018-01-28,2203.0,0.0,0.690046989865252,0.0,0.42759872900590107,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
586,2014-05-01,347,"West 59th Street Marine Transfer Station Construction, Phase 2","Phase I repairs the inshore platform, replaces scales and control equipment, dredging around the pier, & site work. Phase 2 refurbishes existing pier building incl. pier structure, pile caps, fendering, construction of new emergency generator, etc.",Sanitation,Manhattan,DDC,DSNY,Construction Procurement,2012-01-17,89734000.0,28657000.0,42146000.0,2017-10-28,-92.0,942.0,61077000.0,2018-01-28,2203.0,0.46919462318057537,0.690046989865252,-0.04176123467998184,0.42759872900590107,11.0,10.0,28657000.0,-92.0,1.0,1.0,1.0,1.0
585,2015-02-01,347,"West 59th Street Marine Transfer Station Construction, Phase 2","Phase I repairs the inshore platform, replaces scales and control equipment, dredging around the pier, & site work. Phase 2 refurbishes existing pier building incl. pier structure, pile caps, fendering, construction of new emergency generator, etc.",Sanitation,Manhattan,DDC,DSNY,Construction Procurement,2012-01-17,89734000.0,0.0,42146000.0,2018-08-18,294.0,942.0,61077000.0,2018-01-28,2203.0,0.0,0.690046989865252,0.13345438039037677,0.42759872900590107,11.0,10.0,28657000.0,202.0,0.0,1.0,1.0,2.0
584,2015-08-01,347,"West 59th Street Marine Transfer Station Construction, Phase 2","Phase I repairs the inshore platform, replaces scales and control equipment, dredging around the pier, & site work. Phase 2 refurbishes existing pier building incl. pier structure, pile caps, fendering, construction of new emergency generator, etc.",Sanitation,Manhattan,DDC,DSNY,Construction,2012-01-17,89734000.0,0.0,42146000.0,2017-05-18,-457.0,942.0,61077000.0,2018-01-28,2203.0,0.0,0.690046989865252,-0.20744439400817066,0.42759872900590107,11.0,10.0,28657000.0,-255.0,0.0,1.0,1.0,3.0
583,2016-01-01,347,"West 59th Street Marine Transfer Station Construction, Phase 2","Phase I repairs the inshore platform, replaces scales and control equipment, dredging around the pier, & site work. Phase 2 refurbishes existing pier building incl. pier structure, pile caps, fendering, construction of new emergency generator, etc.",Sanitation,Manhattan,DDC,DSNY,Construction,2012-01-17,89608000.0,-126000.0,42146000.0,2017-05-18,0.0,942.0,61077000.0,2018-01-28,2203.0,-0.002062969693992829,0.690046989865252,0.0,0.42759872900590107,11.0,10.0,28531000.0,-255.0,1.0,0.0,2.0,3.0
582,2016-06-01,347,"West 59th Street Marine Transfer Station Construction, Phase 2","Phase I repairs the inshore platform, replaces scales and control equipment, dredging around the pier, & site work. Phase 2 refurbishes existing pier building incl. pier structure, pile caps, fendering, construction of new emergency generator, etc.",Sanitation,Manhattan,DDC,DSNY,Construction,2012-01-17,86005000.0,-3603000.0,42146000.0,2018-02-22,280.0,942.0,61077000.0,2018-01-28,2203.0,-0.05899110958298541,0.690046989865252,0.12709940989559693,0.42759872900590107,11.0,10.0,24928000.0,25.0,1.0,1.0,3.0,4.0
581,2016-11-01,347,"West 59th Street Marine Transfer Station Construction, Phase 2","Phase I repairs the inshore platform, replaces scales and control equipment, dredging around the pier, & site work. Phase 2 refurbishes existing pier building incl. pier structure, pile caps, fendering, construction of new emergency generator, etc.",Sanitation,Manhattan,DDC,DSNY,Construction,2012-01-17,87563311.0,1558311.0,42146000.0,2018-03-20,26.0,942.0,61077000.0,2018-01-28,2203.0,0.025513875927108406,0.690046989865252,0.011802088061733999,0.42759872900590107,11.0,10.0,26486311.0,51.0,1.0,1.0,4.0,5.0
580,2017-04-01,347,"West 59th Street Marine Transfer Station Construction, Phase 2","Phase I repairs the inshore platform, replaces scales and control equipment, dredging around the pier, & site work. Phase 2 refurbishes existing pier building incl. pier structure, pile caps, fendering, construction of new emergency generator, etc.",Sanitation,Manhattan,DDC,DSNY,Construction,2012-01-17,84946000.0,-2617311.0,42146000.0,2018-05-08,49.0,942.0,61077000.0,2018-01-28,2203.0,-0.042852645021857656,0.690046989865252,0.02224239673172946,0.42759872900590107,11.0,10.0,23869000.0,100.0,1.0,1.0,5.0,6.0
